1,pick_lat,pick_lng
2,17.4427052,78.3878784
3,17.4901886,78.4155121
4,17.3701077,78.5150452
5,17.4393139,78.4430008
6,17.4323254,78.3819656
7,17.4106674,78.4977646
8,17.421051,78.4444427
9,17.4393234,78.4430161
10,17.3854809,78.4736938
11,17.4010639,78.4189377
12,17.4247208,78.4521332
13,17.4110641,78.423378
14,17.421505,78.4432068
15,17.4181004,78.4381409
16,17.4210262,78.4575195
17,17.4490128,78.362236
18,17.4346466,78.5022964
19,17.4099007,78.4498062
20,17.38591,78.4899979
21,17.4430599,78.3549576
22,17.4351845,78.5055466
23,17.4480629,78.3897629
24,17.4025726,78.4624481
25,17.4641628,78.3670273
26,17.4074116,78.4402161
27,17.4546738,78.3976822
28,17.449091,78.4240494
29,17.4278202,78.4514084
30,17.4370461,78.384819
31,17.4420223,78.3627853
32,17.4474335,78.3797455
33,17.4511547,78.3663635
34,17.4051037,78.4052277
35,17.3917942,78.4760666
36,17.4514427,78.3668137
37,17.4527206,78.4432983
38,17.3921299,78.4750977
39,17.4534416,78.3708038
40,17.4517326,78.3812332
41,17.4248199,78.3790817
42,17.3804302,78.480217
43,17.4153442,78.4142838
44,17.3998489,78.4787064
45,17.4417286,78.4903336
46,17.4446259,78.3601685
47,17.4065685,78.4969254
48,17.4069138,78.4827805
49,17.4575901,78.4872055
50,17.395174,78.4364777
51,17.3706799,78.429451
52,17.3959656,78.4220505
53,17.4488449,78.4462509
54,17.3870678,78.4722443
55,17.4586868,78.3545303
56,17.4386845,78.4569702
57,17.4097767,78.4629517
58,17.42943,78.4501953
59,17.3878288,78.4762878
60,17.4346104,78.5008926
61,17.4335003,78.4267883
62,17.4928303,78.3946609
63,17.4256916,78.4491806
64,17.4064426,78.4971085
65,17.3955669,78.502388
66,17.41782,78.4913177
67,17.4553928,78.3845673
68,17.4522476,78.388855
69,17.3890114,78.4706879
70,17.4017982,78.5605621
71,17.4400024,78.3951645
72,17.4174843,78.4558029
73,17.4387035,78.4568939
74,17.4599915,78.3500671
75,17.4935875,78.4026337
76,17.3608589,78.478775
77,17.4259644,78.4542694
78,17.392807,78.4840164
79,17.4428959,78.3826828
80,17.4389057,78.3967056
81,17.3950005,78.4539108
82,17.3937321,78.4821243
83,17.4407654,78.4930115
84,17.4786148,78.4149704
85,17.3925819,78.4250412
86,17.4730053,78.3716812
87,17.4263439,78.4177094
88,17.4591103,78.366394
89,17.407217,78.4447021
90,17.5043278,78.3566818
91,17.4124317,78.46521
92,17.3906498,78.4675446
93,17.4260654,78.5243607
94,17.4613686,78.3620758
95,17.3992901,78.3855057
96,17.4355965,78.3329926
97,17.4437847,78.3872528
98,17.4552135,78.4122238
99,17.4442654,78.4706497
100,17.3743248,78.4999161
101,17.4822941,78.380249
102,17.4395027,78.448288
103,17.3439293,78.5552139
104,17.4409466,78.4121552
105,17.3922539,78.5164413
106,17.4018421,78.5604553
107,17.4133987,78.4476547
108,17.4333668,78.3668747
109,17.4420605,78.3917007
110,17.4038544,78.4626236
111,17.4449272,78.36203
112,17.442791,78.3568726
113,17.4125671,78.4653397
114,17.4099636,78.4797592
115,17.42383,78.4542313
116,17.4286861,78.4193726
117,17.4484463,78.3645477
118,17.3770142,78.5577087
119,17.4187279,78.4483185
120,17.4222069,78.3806229
121,17.4697723,78.408905
122,17.4331036,78.3747101
123,17.4332466,78.3746719
124,17.3968563,78.4092255
125,17.4028702,78.4613037
126,17.3966808,78.4951248
127,17.4288864,78.4556656
128,17.4139805,78.4099045
129,17.4710693,78.3833923
130,17.414547,78.4088364
131,17.3954639,78.4897614
132,17.4071083,78.4137344
133,17.3913441,78.4416962
134,17.4360371,78.4494858
135,17.4086246,78.4894485
136,17.4314156,78.4604111
137,17.4576149,78.3719788
138,17.4224758,78.4957275
139,17.3946095,78.4272766
140,17.3949471,78.4332809
141,17.3952713,78.4552841
142,17.4512405,78.5462112
143,17.4447327,78.3870773
144,17.388031,78.4400864
145,17.3837395,78.4792786
146,17.4078522,78.4463348
147,17.396492,78.4799805
148,17.3957539,78.4864273
149,17.4169159,78.4991379
150,17.4357853,78.4368057
151,17.4362411,78.4562454
152,17.430048,78.4253616
153,17.4691048,78.4178238
154,17.3859768,78.4315491
155,17.4950733,78.3945618
156,17.4399128,78.442276
157,17.4265652,78.4528427
158,17.4971046,78.3865738
159,17.4435463,78.3873672
160,17.4480152,78.3882904
161,17.4065285,78.4974213
162,17.4658051,78.3716278
163,17.4302464,78.4362106
164,17.3881168,78.4770737
165,17.3896351,78.4964066
166,17.434885,78.4556046
167,17.3773212,78.4911652
168,17.434885,78.5008926
169,17.4372349,78.4964371
170,17.4429531,78.3818741
171,17.4423618,78.3556137
172,17.399189,78.4806213
173,17.398819,78.4997711
174,17.4649544,78.4728699
175,17.4156837,78.4126587
176,17.4338608,78.3847885
177,17.4522305,78.3802567
178,17.3956871,78.4427567
179,17.4658585,78.3714905
180,17.4361858,78.4562225
181,17.4038525,78.4080353
182,17.4426823,78.3698883
183,17.4298153,78.4501343
184,17.455698,78.3639755
185,17.4460564,78.3505478
186,17.4391537,78.3854828
187,17.4355526,78.3943863
188,17.4417267,78.3640976
189,17.403368,78.4655685
190,17.4179344,78.4077148
191,17.4296837,78.4332123
192,17.493763,78.401207
193,17.3835316,78.5165482
194,17.4363575,78.3882751
195,17.451582,78.3667755
196,17.4374161,78.3834076
197,17.4159603,78.4196777
198,17.4441128,78.3809738
199,17.4429111,78.3696289
200,17.4650784,78.4417801
201,17.3520317,78.5467529
202,17.457098,78.3647995
203,17.4513721,78.3715439
204,17.4242649,78.4538651
205,17.409483,78.494812
206,17.4359169,78.5193863
207,17.4260445,78.4213715
208,17.4842224,78.3600693
209,17.4268284,78.4298325
210,17.419754,78.3377533
211,17.4485531,78.3569641
212,17.4019432,78.4911041
213,17.4267788,78.3315811
